127.0.0.1 - - [14/Mar/2025:20:12:47 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:19:40 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:25 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:25 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/css2/formuser.css HTTP/1.1" 200 4479
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:25 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage1.jpg HTTP/1.1" 200 348685
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:25 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage2.jpg HTTP/1.1" 200 209330
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:25 +0700] "GET /Project3_NongVanBach_2210900003/images/butbi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:25 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage5.jpg HTTP/1.1" 200 193627
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:25 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage4.jpg HTTP/1.1" 200 228783
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:25 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage3.png HTTP/1.1" 200 1469899
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:25 +0700] "GET /Project3_NongVanBach_2210900003/images/bangtrang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:25 +0700] "GET /Project3_NongVanBach_2210900003/images/sotay.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:27 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:44 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:44 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:45 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:45 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:45 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:20:54 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:04 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:06 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:09 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/images/logopage1.png HTTP/1.1" 200 9477
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/css2/formuser.css HTTP/1.1" 200 4479
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage1.jpg HTTP/1.1" 200 348685
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage2.jpg HTTP/1.1" 200 209330
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage5.jpg HTTP/1.1" 200 193627
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/images/butbi.jpg HTTP/1.1" 200 118492
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage3.png HTTP/1.1" 200 1469899
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage4.jpg HTTP/1.1" 200 228783
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/images/sotay.jpg HTTP/1.1" 200 376976
