127.0.0.1 - - [07/Mar/2025:08:05:39 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:05:40 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:05:41 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:05:54 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/adminLogin HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:14 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:17 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/userLogin HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:20 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/userLogin HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:21 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/userLogin HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:48 +0700] "GET /Project3_NongVanBach_2210900003/Backend/trangChu.jsp?search=a HTTP/1.1" 200 9084
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:48 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:48 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:48 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:48 +0700] "GET /Project3_NongVanBach_2210900003/images/logopage1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:48 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:48 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage2.jpg HTTP/1.1" 304 -
