127.0.0.1 - - [07/Mar/2025:08:05:39 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:53 +0700] "GET /Project3_NongVanBach_2210900003/Backend/trangChu.jsp HTTP/1.1" 200 9084
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/Backend/SanPham/listSanPham.jsp HTTP/1.1" 200 21365
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/images/daythun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/images/butbi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/images/sotay.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/images/gotbut.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/images/thuocke.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/images/giayA4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/images/ghimgiay.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/images/bangtrang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/images/mucviet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:06:56 +0700] "GET /Project3_NongVanBach_2210900003/images/compa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:07:01 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:07:05 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:07:05 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8593
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:07:19 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:07:19 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:07:25 +0700] "GET /Project3_NongVanBach_2210900003/Backend/trangChu.jsp?search=a HTTP/1.1" 200 9084
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:07:37 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:07:40 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:07:43 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:07:43 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8593
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:02 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:02 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:07 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:07 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:11 +0700] "GET /Project3_NongVanBach_2210900003/Backend/trangChu.jsp?search=a HTTP/1.1" 200 9084
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:12 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:13 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:20 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:20 +0700] "GET /Project3_NongVanBach_2210900003/Backend/trangChu.jsp HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:34 +0700] "GET /Project3_NongVanBach_2210900003/Backend/SanPham/listSanPham.jsp HTTP/1.1" 200 21440
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:41 +0700] "GET /Project3_NongVanBach_2210900003/Backend/trangChu.jsp HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:42 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:42 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:45 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:45 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8593
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:59 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:08:59 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:09:02 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/userLogin HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:09:05 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:09:08 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:09:08 +0700] "GET /Project3_NongVanBach_2210900003/Backend/trangChu.jsp HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:11:32 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:11:32 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:16 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:16 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8593
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:20 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:20 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:21 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:24 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:24 +0700] "GET /Project3_NongVanBach_2210900003/Backend/trangChu.jsp HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:32 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:32 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:37 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:15:37 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8593
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:16:04 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:16:04 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:19:35 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:19:38 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:20:32 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:20:34 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:20:36 +0700] "GET /Project3_NongVanBach_2210900003/Backend/Frontend/userLayout.jsp HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:20:52 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:20:53 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:20:54 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:20:56 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:21:04 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:23:25 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:23:33 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:24:09 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:26:55 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:26:57 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:26:58 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:27:00 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:27:02 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:27:08 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:27:16 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:27:42 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp?search= HTTP/1.1" 200 8519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:08:27:50 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp?search=a HTTP/1.1" 200 8519
